ID,Id-Mets-Score,Id-Mets-Rank,All-Mets-Score,All-Mets-Rank
Lachnospiraceae_bacterium_5_1_63FAA,0.2494,594,0.2361,3101
Lachnospiraceae_bacterium_6_1_63FAA,0.4095,99,0.3187,790
Lachnospiraceae_bacterium_7_1_58FAA,0.2928,437,0.3312,652
Lachnospiraceae_bacterium_8_1_57FAA,0.3552,196,0.2537,2297
Lachnospiraceae_bacterium_9_1_43BFAA,0.3774,146,0.3961,223
Roseburia_hominis,0.554,15,0.5163,44
Roseburia_intestinalis,0.3098,351,0.2842,1389
Roseburia_inulinivorans,0.4021,104,0.4058,187
Roseburia_unclassified,0.3175,322,0.2746,1617
Oscillibacter_sp_KLE_1728,0.3052,374,0.2388,2957
Oscillibacter_sp_KLE_1745,0.3795,141,0.2762,1572
Oscillibacter_unclassified,0.6213,8,0.7377,3
Clostridium_bartlettii,0.4,108,0.3866,267
Clostridium_difficile,0.2641,543,0.2425,2778
Peptostreptococcaceae_noname_unclassified,0.3149,332,0.2646,1924
Anaerotruncus_colihominis,0.28,484,0.2876,1318
Anaerotruncus_unclassified,0.3241,298,0.3603,409
Faecalibacterium_prausnitzii,0.4292,82,0.4486,95
Ruminococcaceae_bacterium_D16,0.3774,145,0.3143,846
Ruminococcus_bromii,0.6335,5,0.7412,2
Ruminococcus_callidus,0.5382,19,0.6442,8
Ruminococcus_lactaris,0.3819,139,0.3907,242
Ruminococcus_sp_5_1_39BFAA,0.3766,148,0.538,35
Subdoligranulum_sp_4_3_54A2FAA,0.2642,541,0.255,2245
Subdoligranulum_unclassified,0.9545,1,0.9649,1
Catenibacterium_mitsuokai,0.2565,569,0.2629,1981
Coprobacillus_unclassified,0.2075,645,0.2911,1236
Clostridium_ramosum,0.2706,521,0.2887,1296
Clostridium_spiroforme,0.2813,482,0.283,1418
Erysipelotrichaceae_bacterium_21_3,0.3188,316,0.236,3107
Erysipelotrichaceae_bacterium_2_2_44A,0.3365,251,0.242,2808
Erysipelotrichaceae_bacterium_3_1_53,0.3098,352,0.255,2251
Erysipelotrichaceae_bacterium_5_2_54FAA,0.2911,441,0.27,1760
Erysipelotrichaceae_bacterium_6_1_45,0.3648,171,0.3217,756
Eubacterium_biforme,0.5052,32,0.5466,30
Eubacterium_cylindroides,0.2842,467,0.2113,4751
Eubacterium_dolichum,0.3183,320,0.2354,3139
Holdemania_filiformis,0.3281,291,0.2752,1605
Holdemania_unclassified,0.3314,278,0.3499,478
Turicibacter_unclassified,0.3322,271,0.266,1886
Acidaminococcus_intestini,0.3709,159,0.3178,801
Acidaminococcus_unclassified,0.2725,511,0.2956,1155
Phascolarctobacterium_succinatutens,0.2955,418,0.2762,1573
Dialister_invisus,0.283,470,0.25,2455
Megamonas_hypermegale,0.3317,276,0.2227,3939
Megamonas_unclassified,0.2515,588,0.1982,5791
Megasphaera_micronuciformis,0.2506,590,0.2638,1945
Megasphaera_unclassified,0.3195,312,0.2574,2150
Veillonella_atypica,0.2538,578,0.3643,382
Veillonella_dispar,0.2877,455,0.3246,730
Veillonella_parvula,0.3589,185,0.335,622
Veillonella_unclassified,0.2714,517,0.5052,46
Fusobacterium_nucleatum,0.2743,504,0.2674,1842
Burkholderiales_bacterium_1_1_47,0.2641,544,0.2371,3049
Parasutterella_excrementihominis,0.3296,285,0.2476,2560
Sutterella_wadsworthensis,0.4192,91,0.4038,195
Bilophila_unclassified,0.4222,88,0.3253,717
Bilophila_wadsworthia,0.2433,606,0.2138,4575
Desulfovibrio_piger,0.2604,560,0.2111,4766
Citrobacter_unclassified,0.3285,289,0.2374,3032
Enterobacter_cloacae,0.2644,539,0.2442,2702
Escherichia_coli,0.387,130,0.4074,182
Escherichia_unclassified,0.3054,372,0.3438,525
Klebsiella_oxytoca,0.3677,164,0.2891,1287
Klebsiella_pneumoniae,0.3546,199,0.2554,2221
Klebsiella_unclassified,0.3733,154,0.3917,237
Proteus_mirabilis,0.3117,343,0.2347,3179
Haemophilus_parainfluenzae,0.5134,27,0.6054,17
Akkermansia_muciniphila,0.5455,18,0.5031,49
Methanobrevibacter_unclassified,0.3629,177,0.4321,119
Collinsella_stercoris,0.3417,229,0.2498,2457
Bacteroides_clarus,0.2968,414,0.2452,2645
Bacteroides_plebeius,0.2607,557,0.2729,1657
Lactobacillus_delbrueckii,0.3184,319,0.2489,2497
Lactobacillus_sakei,0.2742,506,0.2611,2042
