ID,Species-Id-Mets-Score,Species-Id-Mets-Rank,Species-All-Mets-Score,Species-All-Mets-Rank,Enzymes-Id-Mets-Score,Enzymes-Id-Mets-Rank,Enzymes-All-Mets-Score,Enzymes-All-Mets-Rank
phenyllactate,0.3969,111,0.2569,2171,0.4844,79,0.3027,2457
C18-neg_Cluster_0032,,,0.1711,7813,,,0.1764,9647
C18-neg_Cluster_0033,,,0.2076,5034,,,0.2984,2635
C18-neg_Cluster_0034,,,0.1581,8463,,,0.1916,8597
C18-neg_Cluster_0035,,,0.298,1112,,,0.2496,4763
Phenylpyruvic acid derivatives,,,0.1712,7810,,,0.3367,1476
C18-neg_Cluster_0037,,,0.1436,8820,,,0.1564,10531
C18-neg_Cluster_0038,,,0.1845,6925,,,0.2106,7273
Phenols,,,0.2195,4176,,,0.1697,10002
C18-neg_Cluster_0040,,,0.2235,3879,,,0.1975,8173
C18-neg_Cluster_0041,,,0.2466,2591,,,0.2474,4891
C18-neg_Cluster_0042,,,0.2126,4670,,,0.1696,10016
C18-neg_Cluster_0043,,,0.2458,2620,,,0.2185,6687
C18-neg_Cluster_0044,,,0.1783,7377,,,0.2066,7548
azelate,0.364,174,0.2857,1362,0.3121,1123,0.2281,6082
Indoles and derivatives,,,0.2364,3078,,,0.2591,4245
Methionine and derivatives,,,0.162,8317,,,0.172,9873
Benzyloxycarbonyls,,,0.1964,5938,,,0.2054,7607
Benzyloxycarbonyls,,,0.2351,3156,,,0.1886,8787
Toluenes,,,0.3814,293,,,0.3177,1980
Cumenes,,,0.1981,5802,,,0.1891,8752
Phenylpropanoic acids,,,0.1947,6083,,,0.1809,9361
C18-neg_Cluster_0053,,,0.1456,8783,,,0.1621,10327
Tyrosine and derivatives,,,0.1437,8816,,,0.2776,3429
Benzothiophenes,,,0.1953,6031,,,0.1717,9888
Benzothiophenes,,,0.1349,8949,,,0.1607,10392
C18-neg_Cluster_0057,,,0.286,1351,,,0.1543,10589
Hydroxy acids and derivatives,,,0.1689,7947,,,0.1885,8798
Hydroxy acids and derivatives,,,0.177,7469,,,0.2794,3360
N-acyl-alpha amino acids,,,0.1949,6066,,,0.2486,4819
N-acyl-alpha amino acids,,,0.2467,2588,,,0.3379,1443
Dimethoxybenzenes,,,0.1998,5657,,,0.1656,10198
Medium-chain fatty acids,,,0.5045,48,,,0.5495,34
sebacate,0.3321,272,0.1944,6113,0.326,899,0.249,4804
C18-neg_Cluster_0065,,,0.1631,8274,,,0.3562,988
Cyclohexenones,,,0.2611,2043,,,0.2278,6094
Azolidines,,,0.1434,8824,,,0.2593,4235
Indoles and derivatives,,,0.2372,3044,,,0.3014,2495
Naphthalenes,,,0.286,1352,,,0.3145,2078
Naphthalenes,,,0.2012,5534,,,0.2174,6775
Benzamides,,,0.2444,2690,,,0.1822,9267
Benzene and substituted derivatives,,,0.1689,7948,,,0.2318,5828
Imidazopyrimidines,,,0.2178,4287,,,0.2609,4154
Lactones,,,0.2507,2432,,,0.3422,1343
Phenylpropanoic acids,,,0.2918,1220,,,0.2941,2764
Hippuric acids,,,0.1466,8760,,,0.1582,10472
Phenol ethers,,,0.3084,933,,,0.3929,466
N-acyl-alpha amino acids,,,0.2193,4188,,,0.1702,9972
undecanedionate,0.5214,22,0.3015,1051,0.6951,3,0.459,176
Medium-chain fatty acids,,,0.2469,2581,,,0.3304,1635
N-acyl-alpha amino acids,,,0.3803,297,,,0.4922,101
Hydroxy acids and derivatives,,,0.1579,8474,,,0.1793,9471
C18-neg_Cluster_0083,,,0.1849,6896,,,0.3028,2452
C18-neg_Cluster_0084,,,0.2038,5310,,,0.2039,7713
Phenols,,,0.4723,71,,,0.4058,374
Tetrahydroisoquinolines,,,0.1584,8453,,,0.2221,6451
C18-neg_Cluster_0087,,,0.1683,8004,,,0.1615,10358
Dipeptides,,,0.2628,1985,,,0.2423,5184
Phenylpropanes,,,0.2106,4807,,,0.141,10824
acetytyrosine,0.4178,93,0.2341,3212,0.3083,1169,0.1971,8206
Tetrahydroisoquinolines,,,0.1379,8918,,,0.1632,10292
C18-neg_Cluster_0092,,,0.1777,7422,,,0.184,9152
Medium-chain fatty acids,,,0.2454,2636,,,0.2217,6481
Medium-chain fatty acids,,,0.2445,2686,,,0.2562,4415
Benzopyrans,,,0.2708,1729,,,0.2444,5075
C18-neg_Cluster_0096,,,0.3019,1045,,,0.2881,2987
C18-neg_Cluster_0097,,,0.1804,7210,,,0.3026,2460
Carboxylic acid derivatives,,,0.263,1974,,,0.1864,8966
Carboxylic acid derivatives,,,0.1944,6114,,,0.2553,4473
Lactones,,,0.1955,6013,,,0.1934,8469
Lactones,,,0.3412,550,,,0.3864,516
Lactones,,,0.2248,3790,,,0.2456,4991
Lactones,,,0.3071,955,,,0.433,242
Lactones,,,0.244,2710,,,0.2577,4323
Lactones,,,0.2284,3581,,,0.2218,6466
Dipeptides,,,0.1592,8418,,,0.2015,7888
myristic acid,0.2785,492,0.1605,8368,0.3501,651,0.2341,5677
Indoles and derivatives,,,0.1902,6464,,,0.2034,7750
Fatty acid esters,,,0.4151,153,,,0.3111,2176
Fatty acid esters,,,0.3738,334,,,0.3379,1444
dodecanedioic acid,0.4088,100,0.2982,1108,0.2806,1633,0.1863,8972
Dipeptides,,,0.2093,4931,,,0.184,9151
Dipeptides,,,0.2465,2594,,,0.1824,9249
Organic sulfuric acids and derivatives,,,0.2315,3387,,,0.1987,8071
C18-neg_Cluster_0115,,,0.2682,1812,,,0.273,3625
C18-neg_Cluster_0116,,,0.1847,6909,,,0.2901,2914
Sesquiterpenoids,,,0.1774,7443,,,0.1498,10693
Dihydrofurans,,,0.2348,3173,,,0.302,2478
Diazines,,,0.183,7017,,,0.1523,10636
Indoles and derivatives,,,0.1789,7327,,,0.3275,1730
Indoles and derivatives,,,0.163,8278,,,0.1594,10443
Coumarans,,,0.1907,6410,,,0.2121,7157
C18-neg_Cluster_0123,,,0.2851,1369,,,0.3751,630
Furanoid fatty acids,,,0.3837,286,,,0.2878,2998
Furanoid fatty acids,,,0.3374,591,,,0.1865,8956
Benzoxazines,,,0.2303,3472,,,0.3685,713
Furoic acid derivatives,,,0.5952,21,,,0.3843,538
C18-neg_Cluster_0128,,,0.2725,1673,,,0.1607,10393
C18-neg_Cluster_0129,,,0.2292,3523,,,0.1872,8905
C18-neg_Cluster_0130,,,0.2755,1594,,,0.2117,7191
Fatty acid esters,,,0.2455,2635,,,0.2031,7773
C18-neg_Cluster_0132,,,0.1791,7307,,,0.2478,4865
N-acyl-alpha amino acids,,,0.2049,5239,,,0.2227,6403
1-benzopyrans,,,0.3552,441,,,0.3333,1572
Fatty acids and conjugates,,,0.1888,6564,,,0.2931,2814
Fatty acids and conjugates,,,0.5324,36,,,0.3513,1156
Fatty acids and conjugates,,,0.4848,62,,,0.3625,846
C18-neg_Cluster_0138,,,0.2056,5188,,,0.1443,10776
Peptides,,,0.2085,4991,,,0.1795,9462
Dipeptides,,,0.1862,6776,,,0.1482,10720
Peptides,,,0.2355,3136,,,0.2263,6191
Peptides,,,0.1977,5836,,,0.1868,8932
Fatty alcohols,,,0.1701,7877,,,0.2332,5739
2-hydroxymyristic acid,0.3963,113,0.2847,1378,0.3045,1245,0.2682,3828
Fatty alcohols,,,0.168,8023,,,0.3219,1867
Fatty alcohols,,,0.2785,1521,,,0.1857,9026
C18-neg_Cluster_0147,,,0.2105,4815,,,0.2879,2995
C18-neg_Cluster_0148,,,0.2411,2851,,,0.2346,5650
C18-neg_Cluster_0149,,,0.1927,6240,,,0.2154,6920
Peptidomimetics,,,0.4368,111,,,0.2944,2759
C18-neg_Cluster_0151,,,0.2095,4914,,,0.3764,621
C18-neg_Cluster_0152,,,0.2137,4588,,,0.183,9214
C18-neg_Cluster_0153,,,0.1764,7506,,,0.2079,7458
Biphenyls and derivatives,,,0.2097,4887,,,0.1582,10473
C18-neg_Cluster_0155,,,0.1539,8595,,,0.1512,10664
C18-neg_Cluster_0156,,,0.2543,2269,,,0.3741,644
C18-neg_Cluster_0157,,,0.1878,6636,,,0.1901,8694
Dipeptides,,,0.3321,644,,,0.3176,1985
C18-neg_Cluster_0159,,,0.3378,587,,,0.3465,1254
Ubiquinols,,,0.3859,269,,,0.3505,1173
C18-neg_Cluster_0161,,,0.1797,7265,,,0.2129,7097
Aspartic acid and derivatives,,,0.1346,8953,,,0.1714,9911
Flavones,,,0.1872,6683,,,0.2438,5110
palmitoleic acid,0.3186,317,0.1951,6047,0.2557,2076,0.1676,10118
C18-neg_Cluster_0165,,,0.27,1761,,,0.319,1940
Stilbenes,,,0.2672,1846,,,0.2268,6156
Harmala alkaloids,,,0.2065,5116,,,0.234,5685
Harmala alkaloids,,,0.2244,3816,,,0.1895,8733
Harmala alkaloids,,,0.259,2104,,,0.2898,2926
Monoterpenoids,,,0.2791,1505,,,0.2537,4558
palmitic acid,0.2526,582,0.1565,8521,0.2959,1395,0.2057,7591
Isoflavonoids,,,0.3676,361,,,0.2571,4365
Isoflavonoids,,,0.3352,617,,,0.2956,2723
C18-neg_Cluster_0174,,,0.1764,7507,,,0.3541,1091
C18-neg_Cluster_0175,,,0.2616,2026,,,0.4503,198
Menthane monoterpenoids,,,0.2568,2175,,,0.2375,5468
tetradecanedioate,0.2541,576,0.202,5462,0.274,1760,0.1597,10430
Fatty alcohols,,,0.2421,2806,,,0.1742,9760
Fatty alcohols,,,0.2626,1990,,,0.2252,6255
Fatty alcohols,,,0.2928,1210,,,0.2467,4921
Pentose phosphates,,,0.2004,5608,,,0.3086,2260
Benzopyrans,,,0.1998,5654,,,0.2601,4200
1,2,3,4-tetrahydro-b-carboline-1,3-dicarboxylic acid,0.3224,302,0.1754,7571,0.4116,228,0.2443,5077
C18-neg_Cluster_0184,,,0.1934,6196,,,0.1838,9163
Dipeptides,,,0.2223,3964,,,0.2275,6121
Dipeptides,,,0.1341,8958,,,0.1604,10404
Xylenes,,,0.2694,1775,,,0.2301,5944
Phenols,,,0.261,2048,,,0.2063,7565
Phenols,,,0.2472,2573,,,0.2047,7666
Furanocoumarins,,,0.2715,1704,,,0.3403,1378
Peptidomimetics,,,0.3159,820,,,0.2961,2704
Alpha amino acids and derivatives,,,0.1826,7049,,,0.165,10223
C18-neg_Cluster_0193,,,0.1676,8042,,,0.1621,10328
N-acetyl-2-arylethylamines,,,0.2951,1166,,,0.3605,884
Hydroxycinnamic acids and derivatives,,,0.2688,1797,,,0.1763,9657
C18-neg_Cluster_0196,,,0.2093,4932,,,0.3098,2204
Fatty acids and conjugates,,,0.4015,202,,,0.3589,933
C18-neg_Cluster_0198,,,0.2119,4716,,,0.1989,8061
Ketals,,,0.2998,1084,,,0.1842,9140
Ketals,,,0.3187,791,,,0.2106,7268
C18-neg_Cluster_0201,,,0.2168,4347,,,0.1957,8313
Dioxolopyrans,,,0.2235,3880,,,0.1848,9097
C18-neg_Cluster_0203,,,0.1969,5894,,,0.2409,5259
Isoflavonoids,,,0.4122,165,,,0.2664,3896
Phenolic glycosides,,,0.1692,7935,,,0.2283,6064
Benzazepines,,,0.1526,8623,,,0.3141,2093
Macrolides and analogues,,,0.1801,7237,,,0.1618,10344
Long-chain fatty acids,,,0.1641,8222,,,0.2123,7146
Long-chain fatty acids,,,0.3038,1018,,,0.2177,6739
Long-chain fatty acids,,,0.3479,493,,,0.3296,1661
N-acyl-alpha amino acids,,,0.1888,6569,,,0.1396,10843
Isoflavonoids,,,0.2858,1360,,,0.3133,2112
Glucuronic acid derivatives,,,0.2674,1841,,,0.2594,4228
C18-neg_Cluster_0214,,,0.1413,8868,,,0.1534,10609
Phenolic glycosides,,,0.1923,6270,,,0.1981,8124
Sesquiterpenoids,,,0.2842,1390,,,0.3692,705
Sesquiterpenoids,,,0.3501,475,,,0.3641,780
Sesquiterpenoids,,,0.2057,5176,,,0.1433,10786
2-hydroxyhexadecanoate,0.3575,192,0.192,6291,0.2799,1649,0.2543,4523
Long-chain fatty acids,,,0.2073,5057,,,0.2583,4297
Long-chain fatty acids,,,0.2565,2186,,,0.1836,9171
Long-chain fatty acids,,,0.1925,6255,,,0.1578,10483
Long-chain fatty acids,,,0.1984,5782,,,0.2647,3978
Long-chain fatty acids,,,0.3326,641,,,0.3869,511
Long-chain fatty acids,,,0.3014,1056,,,0.2416,5218
Long-chain fatty acids,,,0.3616,398,,,0.201,7924
Phenylalanine and derivatives,,,0.2233,3902,,,0.344,1305
Benzodioxoles,,,0.2983,1105,,,0.1784,9529
Harmala alkaloids,,,0.287,1334,,,0.2362,5565
Harmala alkaloids,,,0.2205,4099,,,0.3854,529
Harmala alkaloids,,,0.1589,8431,,,0.1539,10599
Long-chain fatty acids,,,0.1788,7338,,,0.1932,8483
C18-neg_Cluster_0233,,,0.2094,4920,,,0.2362,5561
Amino acids, peptides, and analogues,,,0.1796,7273,,,0.1943,8401
Amino acids, peptides, and analogues,,,0.3088,928,,,0.1873,8894
Fatty alcohols,,,0.2179,4276,,,0.2388,5381
C18-neg_Cluster_0237,,,0.1453,8788,,,0.19,8697
Phenols and derivatives,,,0.4359,113,,,0.3787,603
Keto acids and derivatives,,,0.223,3919,,,0.1941,8419
Dipeptides,,,0.2075,5039,,,0.1532,10616
Dipeptides,,,0.2334,3269,,,0.1505,10679
Dipeptides,,,0.2754,1597,,,0.1938,8438
Fatty alcohols,,,0.2136,4589,,,0.1274,10903
alpha-linolenic acid,0.2548,573,0.1502,8674,0.3539,613,0.2292,5995
C18-neg_Cluster_0245,,,0.2304,3466,,,0.2241,6325
linoleic acid,0.3073,364,0.1698,7898,0.3747,361,0.258,4309
C18-neg_Cluster_0247,,,0.2557,2208,,,0.2483,4824
Pyrans,,,0.2247,3795,,,0.1886,8788
C18-neg_Cluster_0249,,,0.175,7597,,,0.1688,10050
oleic acid,0.3366,249,0.191,6375,0.3106,1138,0.1818,9296
C18-neg_Cluster_0251,,,0.1817,7107,,,0.3895,491
O-glycosyl compounds,,,0.3316,647,,,0.2828,3193
O-glycosyl compounds,,,0.3382,583,,,0.3709,680
Artemisinins,,,0.224,3846,,,0.2588,4266
Artemisinins,,,0.1848,6899,,,0.2275,6116
stearic acid,0.2642,542,0.1625,8300,0.2572,2061,0.1514,10656
C18-neg_Cluster_0257,,,0.1804,7211,,,0.2243,6309
C18-neg_Cluster_0258,,,0.1867,6726,,,0.2711,3705
Isoflavonoids,,,0.1939,6158,,,0.2079,7459
Isoflavonoids,,,0.1936,6181,,,0.2432,5146
Isoflavonoids,,,0.3776,312,,,0.3346,1527
C18-neg_Cluster_0262,,,0.356,433,,,0.2043,7691
C18-neg_Cluster_0263,,,0.378,309,,,0.3399,1392
C18-neg_Cluster_0264,,,0.2096,4898,,,0.2528,4598
C18-neg_Cluster_0265,,,0.2435,2738,,,0.2771,3447
C18-neg_Cluster_0266,,,0.2964,1138,,,0.2988,2615
Monoterpenoids,,,0.2918,1221,,,0.2398,5321
hexadecanedioic acid,0.3957,115,0.2691,1786,0.3747,362,0.2159,6879
Long-chain fatty alcohols,,,0.1404,8886,,,0.2458,4979
Long-chain fatty alcohols,,,0.4805,66,,,0.4351,236
Long-chain fatty alcohols,,,0.3245,732,,,0.3203,1906
Long-chain fatty alcohols,,,0.2295,3516,,,0.3198,1921
C18-neg_Cluster_0273,,,0.1928,6237,,,0.2633,4048
C18-neg_Cluster_0274,,,0.2791,1506,,,0.2009,7930
Long-chain fatty acids,,,0.2125,4673,,,0.2225,6415
Long-chain fatty acids,,,0.1745,7630,,,0.2062,7567
Long-chain fatty acids,,,0.2246,3801,,,0.266,3920
C18-neg_Cluster_0278,,,0.2523,2366,,,0.2864,3052
C18-neg_Cluster_0279,,,0.1708,7833,,,0.1883,8813
C18-neg_Cluster_0280,,,0.1459,8778,,,0.2151,6947
Phenols,,,0.3291,676,,,0.303,2447
C18-neg_Cluster_0282,,,0.1388,8904,,,0.2103,7292
Furopyrans,,,0.2284,3573,,,0.1884,8804
Glutamine and derivatives,,,0.1939,6159,,,0.164,10262
Glutamine and derivatives,,,0.1407,8877,,,0.1645,10240
Dipeptides,,,0.2286,3559,,,0.2603,4189
Cinnamic acids and derivatives,,,0.1685,7983,,,0.1535,10608
Quinone and hydroquinone lipids,,,0.2443,2695,,,0.1797,9445
Organic sulfuric acids and derivatives,,,0.2358,3121,,,0.1883,8810
Fatty acids and conjugates,,,0.2337,3243,,,0.1492,10706
Lineolic acids and derivatives,,,0.253,2334,,,0.2342,5671
Fatty acids and conjugates,,,0.2138,4576,,,0.1837,9166
Fatty acids and conjugates,,,0.2787,1515,,,0.2936,2786
Fatty acids and conjugates,,,0.2101,4851,,,0.1848,9098
Fatty acids and conjugates,,,0.2063,5130,,,0.2493,4781
C18-neg_Cluster_0296,,,0.191,6376,,,0.2024,7818
C18-neg_Cluster_0297,,,0.2542,2279,,,0.2522,4635
C18-neg_Cluster_0298,,,0.2032,5357,,,0.2413,5229
Lineolic acids and derivatives,,,0.2296,3503,,,0.2548,4498
Lineolic acids and derivatives,,,0.2492,2481,,,0.1997,8011
Lineolic acids and derivatives,,,0.2998,1085,,,0.153,10620
Lineolic acids and derivatives,,,0.2874,1322,,,0.2458,4980
Lineolic acids and derivatives,,,0.1784,7370,,,0.1939,8426
Lineolic acids and derivatives,,,0.2407,2872,,,0.1757,9684
Lineolic acids and derivatives,,,0.3117,883,,,0.3052,2380
Lineolic acids and derivatives,,,0.2383,2981,,,0.1543,10588
Lineolic acids and derivatives,,,0.1834,6999,,,0.1782,9540
Lineolic acids and derivatives,,,0.2724,1679,,,0.1834,9185
Lineolic acids and derivatives,,,0.2237,3871,,,0.1633,10288
O-glucuronides,,,0.3249,725,,,0.4964,94
Flavonoids,,,0.3973,221,,,0.316,2038
Trichothecenes,,,0.2337,3239,,,0.1943,8402
C18-neg_Cluster_0313,,,0.2032,5358,,,0.142,10806
Long-chain fatty acids,,,0.22,4140,,,0.3145,2079
Long-chain fatty acids,,,0.2378,3008,,,0.2269,6148
Long-chain fatty acids,,,0.2016,5491,,,0.2025,7809
Long-chain fatty acids,,,0.2418,2817,,,0.3364,1487
Long-chain fatty acids,,,0.1711,7814,,,0.2273,6129
Long-chain fatty acids,,,0.2712,1716,,,0.2214,6497
Long-chain fatty acids,,,0.2442,2703,,,0.1634,10282
Long-chain fatty acids,,,0.2018,5476,,,0.2121,7158
Long-chain fatty acids,,,0.1875,6658,,,0.1518,10646
Long-chain fatty acids,,,0.2949,1170,,,0.3161,2034
Linear 1,3-diarylpropanoids,,,0.2249,3777,,,0.4407,222
Linear 1,3-diarylpropanoids,,,0.1907,6411,,,0.2901,2915
Benzoxazines,,,0.1387,8908,,,0.2296,5970
C18-neg_Cluster_0327,,,0.1849,6889,,,0.1548,10573
Secondary alcohols,,,0.2704,1739,,,0.2181,6722
Secondary alcohols,,,0.267,1857,,,0.2029,7783
Long-chain fatty acids,,,0.3191,784,,,0.2035,7744
Long-chain fatty acids,,,0.3104,909,,,0.2079,7460
Long-chain fatty acids,,,0.2156,4437,,,0.2765,3477
Long-chain fatty acids,,,0.2084,4993,,,0.2661,3913
Long-chain fatty acids,,,0.2357,3124,,,0.1899,8708
Long-chain fatty acids,,,0.2117,4724,,,0.307,2318
Long-chain fatty acids,,,0.2395,2921,,,0.1676,10119
C18-neg_Cluster_0337,,,0.2359,3110,,,0.4652,159
Dipeptides,,,0.212,4708,,,0.1736,9786
C18-neg_Cluster_0339,,,0.3488,485,,,0.3947,443
C18-neg_Cluster_0340,,,0.2565,2187,,,0.3644,772
C18-neg_Cluster_0341,,,0.2363,3085,,,0.2506,4708
C18-neg_Cluster_0342,,,0.178,7396,,,0.1766,9634
Isoflavonoids,,,0.1867,6727,,,0.192,8563
Isoflavonoids,,,0.3602,411,,,0.3512,1157
Stilbenes,,,0.2176,4298,,,0.1854,9047
C18-neg_Cluster_0346,,,0.2274,3637,,,0.3092,2223
C18-neg_Cluster_0347,,,0.301,1064,,,0.3761,622
Triacylglycerols,,,0.2542,2280,,,0.2237,6348
Long-chain fatty acids,,,0.2156,4433,,,0.265,3966
C18-neg_Cluster_0350,,,0.275,1609,,,0.3465,1255
eicosapentaenoic acid,0.2516,587,0.2085,4986,0.2554,2079,0.2475,4886
1-monoacylglycerols,,,0.1414,8867,,,0.2298,5962
C18-neg_Cluster_0353,,,0.1521,8633,,,0.2374,5476
arachidonic acid,0.2092,644,0.2174,4310,0.3662,424,0.3422,1344
Amino acids, peptides, and analogues,,,0.1839,6961,,,0.1983,8114
C18-neg_Cluster_0356,,,0.3467,504,,,0.4779,133
C18-neg_Cluster_0357,,,0.2763,1571,,,0.2934,2798
C18-neg_Cluster_0358,,,0.3488,486,,,0.3518,1144
C18-neg_Cluster_0359,,,0.3652,377,,,0.5225,57
Xylenes,,,0.3854,273,,,0.23,5949
eicosatrienoic acid,0.3225,301,0.2612,2037,0.3234,925,0.2631,4057
Long-chain fatty acids,,,0.4116,168,,,0.2627,4077
Long-chain fatty acids,,,0.1903,6451,,,0.1765,9638
O-glycosyl compounds,,,0.1933,6203,,,0.1707,9946
C18-neg_Cluster_0365,,,0.2523,2367,,,0.2592,4240
o-Hydroxybenzoic acid esters,,,0.2104,4821,,,0.1954,8336
Benzoic acid esters,,,0.1891,6540,,,0.3149,2068
Iridoids and derivatives,,,0.2033,5349,,,0.1701,9980
C18-neg_Cluster_0369,,,0.1637,8247,,,0.152,10641
Monocyclic monoterpenoids,,,0.2029,5376,,,0.1863,8977
Monocyclic monoterpenoids,,,0.1942,6132,,,0.1694,10022
C18-neg_Cluster_0372,,,0.2227,3945,,,0.2014,7891
eicosenoate,0.2935,431,0.1898,6497,0.3752,356,0.2393,5349
Benzenesulfonic acids and derivatives,,,0.2233,3899,,,0.1522,10638
Benzenesulfonic acids and derivatives,,,0.2129,4642,,,0.1687,10053
Benzenesulfonic acids and derivatives,,,0.193,6220,,,0.1737,9784
Benzopyrazoles,,,0.1802,7229,,,0.2304,5921
C18-neg_Cluster_0378,,,0.1857,6818,,,0.2057,7592
C18-neg_Cluster_0379,,,0.2756,1591,,,0.2113,7212
C18-neg_Cluster_0380,,,0.3165,814,,,0.2453,5009
C18-neg_Cluster_0381,,,0.2908,1244,,,0.2777,3422
Lineolic acids and derivatives,,,0.2307,3444,,,0.2552,4478
Lineolic acids and derivatives,,,0.346,507,,,0.2509,4684
N-acyl-alpha amino acids,,,0.2193,4189,,,0.2869,3036
C18-neg_Cluster_0385,,,0.1721,7762,,,0.2008,7941
C18-neg_Cluster_0386,,,0.2275,3629,,,0.1646,10235
Furanoid lignans,,,0.3397,567,,,0.2774,3438
Furanoid lignans,,,0.3828,289,,,0.3027,2454
Furanoid lignans,,,0.2465,2595,,,0.2459,4968
Isoflavonoids,,,0.3747,330,,,0.2685,3813
C18-neg_Cluster_0391,,,0.1731,7711,,,0.2085,7433
C18-neg_Cluster_0392,,,0.2902,1258,,,0.3202,1909
12.13-diHOME,0.2629,548,0.2413,2839,0.3426,714,0.3572,973
9.10-diHOME,0.3338,265,0.3444,519,0.3458,680,0.2392,5353
Fatty acid esters,,,0.2873,1323,,,0.259,4251
Fatty acid esters,,,0.314,852,,,0.3728,654
Fatty acid esters,,,0.4102,174,,,0.3365,1485
Fatty acid esters,,,0.2345,3191,,,0.1845,9122
Fatty acid esters,,,0.1582,8460,,,0.2075,7487
Acyclic diterpenoids,,,0.1688,7963,,,0.2316,5838
Benzodiazepines,,,0.1496,8694,,,0.1397,10840
C18-neg_Cluster_0402,,,0.3164,815,,,0.3632,820
O-methylated isoflavonoids,,,0.231,3423,,,0.2541,4537
Flavonoids,,,0.3691,355,,,0.348,1232
C18-neg_Cluster_0405,,,0.235,3160,,,0.397,426
C18-neg_Cluster_0406,,,0.3113,894,,,0.3207,1897
C18-neg_Cluster_0407,,,0.2911,1237,,,0.3419,1350
C18-neg_Cluster_0408,,,0.199,5725,,,0.1965,8261
Long-chain fatty acids,,,0.1711,7815,,,0.3073,2309
Long-chain fatty acids,,,0.1955,6014,,,0.2305,5916
Long-chain fatty acids,,,0.2187,4217,,,0.2331,5745
Long-chain fatty acids,,,0.1985,5771,,,0.1988,8066
Long-chain fatty acids,,,0.248,2531,,,0.2573,4350
Long-chain fatty acids,,,0.2653,1907,,,0.2041,7704
Long-chain fatty acids,,,0.2652,1910,,,0.1685,10064
Long-chain fatty acids,,,0.2011,5538,,,0.3382,1439
Dipeptides,,,0.1908,6398,,,0.1602,10413
C18-neg_Cluster_0418,,,0.2349,3171,,,0.1984,8101
C18-neg_Cluster_0419,,,0.1665,8108,,,0.197,8216
C18-neg_Cluster_0420,,,0.1474,8741,,,0.2023,7825
Trifluoromethylbenzenes,,,0.2227,3946,,,0.5032,83
C18-neg_Cluster_0422,,,0.1664,8114,,,0.4602,171
Cinnamic acids and derivatives,,,0.3762,319,,,0.2919,2846
Benzimidazoles,,,0.1552,8557,,,0.2112,7222
Kaurane diterpenoids,,,0.2876,1319,,,0.1922,8547
C18-neg_Cluster_0426,,,0.1754,7575,,,0.1839,9156
C18-neg_Cluster_0427,,,0.2417,2822,,,0.2158,6885
C18-neg_Cluster_0428,,,0.1504,8667,,,0.222,6459
C18-neg_Cluster_0429,,,0.2833,1405,,,0.2294,5979
C18-neg_Cluster_0430,,,0.2312,3409,,,0.3181,1972
Retinoids,,,0.583,23,,,0.4494,201
Long-chain fatty alcohols,,,0.3382,581,,,0.4129,336
Long-chain fatty alcohols,,,0.1984,5773,,,0.1972,8197
Long-chain fatty alcohols,,,0.1399,8895,,,0.221,6528
Long-chain fatty alcohols,,,0.1831,7013,,,0.2068,7531
