ID,Id-Mets-Score,Id-Mets-Rank,All-Mets-Score,All-Mets-Rank
1.1.1.276: Serine 3-dehydrogenase (NADP(+)),0.243,2237,0.2108,7255
1.1.1.28: D-lactate dehydrogenase,0.3271,886,0.4256,277
1.1.1.281: GDP-4-dehydro-6-deoxy-D-mannose reductase,0.3067,1201,0.2572,4353
1.1.1.282: Quinate/shikimate dehydrogenase,0.2482,2171,0.3443,1299
1.1.1.283: Methylglyoxal reductase (NADPH),0.3265,895,0.2523,4628
1.1.1.284: S-(hydroxymethyl)glutathione dehydrogenase,0.2798,1651,0.336,1493
1.1.1.29: Glycerate dehydrogenase,0.3727,378,0.4229,286
1.1.1.290: 4-phosphoerythronate dehydrogenase,0.2757,1726,0.2493,4782
1.1.1.298: 3-hydroxypropionate dehydrogenase (NADP(+)),0.2634,1957,0.3269,1743
1.1.1.3: Homoserine dehydrogenase,0.3181,986,0.3631,821
1.1.1.30: 3-hydroxybutyrate dehydrogenase,0.2661,1903,0.2465,4935
1.1.1.301: D-arabitol-phosphate dehydrogenase,0.2941,1414,0.3006,2528
1.1.1.302: 2,5-diamino-6-(ribosylamino)-4(3H)-pyrimidinone 5'-phosphate reductase,0.3582,486,0.3595,912
1.1.1.303: Diacetyl reductase ((R)-acetoin forming),0.3407,726,0.3434,1323
1.1.1.304: Diacetyl reductase ((S)-acetoin forming),0.2846,1577,0.2686,3806
1.1.1.306: S-(hydroxymethyl)mycothiol dehydrogenase,0.405,251,0.3969,427
1.1.1.31: 3-hydroxyisobutyrate dehydrogenase,0.2821,1605,0.3171,1999
1.1.1.313: Sulfoacetaldehyde reductase,0.2826,1600,0.3025,2463
1.1.1.320: Benzil reductase ((S)-benzoin forming),0.3135,1050,0.3541,1034
1.1.1.330: Very-long-chain 3-oxoacyl-CoA reductase,0.332,828,0.2693,3775
1.1.1.336: UDP-N-acetyl-D-mannosamine dehydrogenase,0.3069,1197,0.242,5204
1.1.1.34: Hydroxymethylglutaryl-CoA reductase (NADPH),0.3242,913,0.3037,2420
1.1.1.346: 2,5-didehydrogluconate reductase (2-dehydro-L-gulonate-forming),0.2312,2373,0.3543,1029
1.1.1.35: 3-hydroxyacyl-CoA dehydrogenase,0.3318,836,0.4586,178
1.1.1.350: Ureidoglycolate dehydrogenase (NAD(+)),0.229,2398,0.2694,3769
1.1.1.36: Acetoacetyl-CoA reductase,0.2924,1444,0.3085,2262
1.1.1.369: D-chiro-inositol 1-dehydrogenase,0.4177,208,0.3972,424
1.1.1.37: Malate dehydrogenase,0.2353,2329,0.224,6328
1.1.1.373: Sulfolactaldehyde 3-reductase,0.3018,1292,0.2398,5324
1.1.1.38: Malate dehydrogenase (oxaloacetate-decarboxylating),0.2945,1409,0.306,2349
1.1.1.381: 3-hydroxy acid dehydrogenase,0.2503,2144,0.3126,2132
1.1.1.4: (R,R)-butanediol dehydrogenase,0.4482,133,0.454,186
1.1.1.40: Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)),0.5095,53,0.4806,125
1.1.1.41: Isocitrate dehydrogenase (NAD(+)),0.3435,705,0.2825,3211
1.1.1.42: Isocitrate dehydrogenase (NADP(+)),0.3405,729,0.4878,110
1.1.1.43: Phosphogluconate 2-dehydrogenase,0.2518,2122,0.1849,9088
1.1.1.44: Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating),0.2607,2011,0.2126,7118
1.1.1.46: L-arabinose 1-dehydrogenase,0.2683,1864,0.3728,653
1.1.1.47: Glucose 1-dehydrogenase (NAD(P)(+)),0.3256,903,0.3145,2076
1.1.1.49: Glucose-6-phosphate dehydrogenase (NADP(+)),0.3583,480,0.3025,2464
1.1.1.5: Transferred entry: 1.1.1.303 and 1.1.1.304,0.2929,1436,0.2622,4094
1.1.1.53: 3-alpha(or 20-beta)-hydroxysteroid dehydrogenase,0.3513,638,0.3857,526
1.1.1.56: Ribitol 2-dehydrogenase,0.2823,1603,0.2858,3078
1.1.1.57: Fructuronate reductase,0.2527,2114,0.2464,4941
1.1.1.58: Tagaturonate reductase,0.3012,1306,0.308,2284
1.1.1.6: Glycerol dehydrogenase,0.233,2357,0.2319,5823
1.1.1.60: 2-hydroxy-3-oxopropionate reductase,0.2814,1619,0.2454,5002
1.1.1.61: 4-hydroxybutyrate dehydrogenase,0.3329,820,0.3058,2361
1.1.1.64: Testosterone 17-beta-dehydrogenase (NADP(+)),0.3335,813,0.3188,1945
1.1.1.65: Pyridoxine 4-dehydrogenase,0.2931,1434,0.2475,4885
1.1.1.67: Mannitol 2-dehydrogenase,0.3107,1137,0.3434,1324
1.1.1.69: Gluconate 5-dehydrogenase,0.3329,821,0.3957,432
1.1.1.76: (S,S)-butanediol dehydrogenase,0.2785,1686,0.2298,5961
1.1.1.77: Lactaldehyde reductase,0.3226,934,0.3278,1719
1.1.1.79: Glyoxylate reductase (NADP(+)),0.2749,1741,0.3572,969
1.1.1.8: Glycerol-3-phosphate dehydrogenase (NAD(+)),0.353,620,0.3624,847
1.1.1.81: Hydroxypyruvate reductase,0.3095,1157,0.2807,3306
1.1.1.83: D-malate dehydrogenase (decarboxylating),0.2521,2121,0.315,2062
1.1.1.85: 3-isopropylmalate dehydrogenase,0.2367,2318,0.3355,1507
1.1.1.86: Ketol-acid reductoisomerase (NADP(+)),0.2492,2158,0.3776,610
1.1.1.87: Homoisocitrate dehydrogenase,0.3135,1051,0.3541,1035
1.1.1.88: Hydroxymethylglutaryl-CoA reductase,0.3765,349,0.2597,4216
1.1.1.9: D-xylulose reductase,0.2686,1857,0.2409,5258
1.1.1.90: Aryl-alcohol dehydrogenase,0.3715,388,0.3802,582
1.1.1.91: Aryl-alcohol dehydrogenase (NADP(+)),0.3755,355,0.2951,2739
1.1.1.93: Tartrate dehydrogenase,0.4195,201,0.4094,349
1.1.1.94: Glycerol-3-phosphate dehydrogenase (NAD(P)(+)),0.2042,2567,0.2842,3142
1.1.1.95: Phosphoglycerate dehydrogenase,0.2548,2085,0.2541,4536
1.1.2.3: L-lactate dehydrogenase (cytochrome),0.354,609,0.2668,3881
1.1.2.4: D-lactate dehydrogenase (cytochrome),0.3172,1000,0.307,2316
1.1.2.5: D-lactate dehydrogenase (cytochrome c-553),0.2451,2211,0.208,7454
1.1.3.10: Pyranose oxidase,0.2552,2081,0.2291,6007
1.1.3.15: (S)-2-hydroxy-acid oxidase,0.2603,2014,0.2388,5384
1.1.3.21: Glycerol-3-phosphate oxidase,0.3026,1277,0.2635,4034
1.1.3.37: D-arabinono-1,4-lactone oxidase,0.3135,1052,0.3541,1036
1.1.5.2: Quinoprotein glucose dehydrogenase (PQQ, quinone),0.2285,2406,0.2566,4388
1.1.5.3: Glycerol-3-phosphate dehydrogenase,0.2726,1780,0.3757,626
1.1.5.4: Malate dehydrogenase (quinone),0.3265,893,0.3993,409
1.1.5.6: Formate dehydrogenase-N,0.2829,1595,0.3262,1761
1.1.5.8: Quinate dehydrogenase (quinone),0.2677,1872,0.2845,3125
1.1.99.1: Choline dehydrogenase,0.272,1790,0.3926,467
1.1.99.14: Glycolate dehydrogenase,0.3422,716,0.3022,2471
1.1.99.2: L-2-hydroxyglutarate dehydrogenase,0.2791,1664,0.2685,3811
1.1.99.3: Gluconate 2-dehydrogenase (acceptor),0.2239,2447,0.2622,4098
1.1.99.33: Formate dehydrogenase (acceptor),0.2872,1534,0.3485,1216
1.1.99.5: Transferred entry: 1.1.5.3,0.2903,1481,0.256,4430
1.10.2.2: Quinol--cytochrome-c reductase,0.3635,449,0.3837,543
1.10.3.10: Ubiquinol oxidase (H(+)-transporting),0.3334,815,0.3818,566
1.10.3.14: Ubiquinol oxidase (electrogenic, non H(+)-transporting),0.2532,2107,0.3577,954
1.10.3.9: Photosystem II,0.2729,1776,0.2898,2927
1.11.1.1: NADH peroxidase,0.3096,1153,0.3336,1561
1.11.1.10: Chloride peroxidase,0.335,798,0.2737,3596
1.11.1.15: Peroxiredoxin,0.2685,1859,0.2774,3437
1.11.1.21: Catalase peroxidase,0.4225,191,0.3575,958
1.11.1.5: Cytochrome-c peroxidase,0.387,312,0.3277,1724
1.11.1.6: Catalase,0.3163,1013,0.2691,3788
1.11.1.7: Peroxidase,0.2372,2312,0.2555,4467
1.11.1.9: Glutathione peroxidase,0.2909,1467,0.2347,5644
1.12.1.2: Hydrogen dehydrogenase,0.3067,1202,0.255,4489
1.12.1.3: Hydrogen dehydrogenase (NADP(+)),0.2765,1716,0.1856,9037
1.12.2.1: Cytochrome-c3 hydrogenase,0.4273,176,0.2816,3261
1.12.5.1: Hydrogen:quinone oxidoreductase,0.2895,1493,0.2776,3428
1.12.7.2: Ferredoxin hydrogenase,0.259,2031,0.2865,3049
1.12.98.1: Coenzyme F420 hydrogenase,0.365,432,0.3291,1681
1.12.98.2: 5,10-methenyltetrahydromethanopterin hydrogenase,0.3719,384,0.3334,1569
1.12.99.6: Hydrogenase (acceptor),0.3035,1260,0.2913,2864
1.13.11.1: Catechol 1,2-dioxygenase,0.2518,2123,0.1849,9089
1.13.11.15: 3,4-dihydroxyphenylacetate 2,3-dioxygenase,0.309,1163,0.3402,1381
1.13.11.16: 3-carboxyethylcatechol 2,3-dioxygenase,0.2479,2177,0.2816,3262
1.13.11.2: Catechol 2,3-dioxygenase,0.4698,92,0.5292,48
1.13.11.20: Cysteine dioxygenase,0.2961,1390,0.2486,4816
1.13.11.24: Quercetin 2,3-dioxygenase,0.2314,2370,0.3482,1224
1.13.11.27: 4-hydroxyphenylpyruvate dioxygenase,0.2616,1991,0.2622,4099
1.13.11.29: Stizolobate synthase,0.216,2506,0.3151,2060
1.13.11.3: Protocatechuate 3,4-dioxygenase,0.2704,1815,0.3012,2503
1.13.11.33: Arachidonate 15-lipoxygenase,0.3075,1184,0.2573,4348
1.13.11.5: Homogentisate 1,2-dioxygenase,0.2786,1678,0.2482,4834
1.13.11.52: Indoleamine 2,3-dioxygenase,0.3573,544,0.3564,985
1.13.11.53: Acireductone dioxygenase (Ni(2+)-requiring),0.3041,1249,0.2917,2852
1.13.11.54: Acireductone dioxygenase (Fe(2+)-requiring),0.3131,1111,0.2688,3799
1.13.11.6: 3-hydroxyanthranilate 3,4-dioxygenase,0.3135,1053,0.3541,1037
1.13.11.8: Protocatechuate 4,5-dioxygenase,0.28,1643,0.3642,777
1.13.12.16: Nitronate monooxygenase,0.3669,415,0.3568,979
1.13.12.4: Lactate 2-monooxygenase,0.3566,561,0.3288,1692
1.13.12.7: Photinus-luciferin 4-monooxygenase (ATP-hydrolyzing),0.3162,1014,0.3077,2294
1.14.11.17: Taurine dioxygenase,0.259,2030,0.351,1163
1.14.11.27: [Histone H3]-lysine-36 demethylase,0.3577,520,0.3596,907
1.14.11.33: DNA oxidative demethylase,0.2684,1862,0.3929,465
1.14.12.10: Benzoate 1,2-dioxygenase,0.2437,2224,0.3036,2423
1.14.12.11: Toluene dioxygenase,0.3019,1287,0.2968,2680
1.14.12.17: Nitric oxide dioxygenase,0.2499,2148,0.2982,2641
1.14.12.19: 3-phenylpropanoate dioxygenase,0.248,2175,0.2876,3004
1.14.12.7: Phthalate 4,5-dioxygenase,0.2483,2167,0.2354,5605
1.14.13.1: Salicylate 1-monooxygenase,0.2975,1363,0.2853,3096
1.14.13.107: Limonene 1,2-monooxygenase,0.2634,1958,0.2546,4507
1.14.13.113: FAD-dependent urate hydroxylase,0.2699,1822,0.3012,2504
1.14.13.127: 3-(3-hydroxy-phenyl)propanoic acid hydroxylase,0.2659,1908,0.3142,2086
1.14.13.132: Squalene monooxygenase,0.3135,1054,0.3541,1038
1.14.13.149: Phenylacetyl-CoA 1,2-epoxidase,0.2587,2046,0.2811,3284
1.14.13.165: Nitric-oxide synthase (NAD(P)H),0.2626,1975,0.2161,6868
1.14.13.2: 4-hydroxybenzoate 3-monooxygenase,0.2509,2135,0.2332,5736
1.14.13.24: 3-hydroxybenzoate 6-monooxygenase,0.2756,1729,0.2433,5134
1.14.13.39: Nitric-oxide synthase (NADPH),0.5006,66,0.4403,224
1.14.13.59: L-lysine N(6)-monooxygenase (NADPH),0.313,1112,0.2506,4707
1.14.13.70: Sterol 14-alpha-demethylase,0.3577,521,0.3635,804
1.14.13.8: Flavin-containing monooxygenase,0.2784,1690,0.2468,4916
1.14.13.81: Magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase,0.652,6,0.7729,2
1.14.13.82: Vanillate monooxygenase,0.2682,1866,0.2961,2703
1.14.13.9: Kynurenine 3-monooxygenase,0.3581,488,0.3595,913
1.14.14.3: Alkanal monooxygenase (FMN-linked),0.28,1644,0.2739,3590
1.14.14.5: Alkanesulfonate monooxygenase,0.2705,1814,0.366,748
1.14.14.9: 4-hydroxyphenylacetate 3-monooxygenase,0.3024,1281,0.3423,1340
1.14.15.3: Alkane 1-monooxygenase,0.2588,2037,0.2166,6823
1.14.16.1: Phenylalanine 4-monooxygenase,0.2588,2038,0.2166,6824
1.14.19.1: Stearoyl-CoA 9-desaturase,0.358,498,0.3625,843
1.14.19.20: Delta(7)-sterol 5(6)-desaturase,0.3572,545,0.34,1385
1.14.99.10: Steroid 21-monooxygenase,0.3031,1269,0.3082,2277
1.14.99.29: Deoxyhypusine monooxygenase,0.3576,528,0.339,1419
1.14.99.3: Heme oxygenase (biliverdin-producing),0.341,723,0.2785,3382
1.14.99.36: Beta-carotene 15,15'-monooxygenase,0.2939,1417,0.3161,2032
1.14.99.44: Diapolycopene oxygenase,0.3149,1030,0.2381,5428
1.14.99.46: Pyrimidine monooxygenase,0.2627,1973,0.3131,2117
1.14.99.48: Heme oxygenase (staphylobilin-producing),0.305,1237,0.2534,4573
1.15.1.1: Superoxide dismutase,0.2658,1911,0.3167,2014
1.15.1.2: Superoxide reductase,0.2999,1327,0.2719,3672
1.16.1.1: Mercury(II) reductase,0.3294,860,0.3226,1849
1.16.1.3: Aquacobalamin reductase,0.2063,2560,0.284,3145
1.16.1.7: Ferric-chelate reductase (NADH),0.2943,1411,0.2799,3341
1.16.1.9: Ferric-chelate reductase (NADPH),0.2356,2328,0.3453,1271
1.16.3.1: Ferroxidase,0.3539,611,0.3261,1764
1.16.3.2: Bacterial non-heme ferritin,0.2436,2226,0.256,4431
1.16.8.1: Cob(II)yrinic acid a,c-diamide reductase,0.297,1373,0.2416,5222
1.17.1.2: 4-hydroxy-3-methylbut-2-enyl diphosphate reductase,0.3323,825,0.3802,583
1.17.1.4: Xanthine dehydrogenase,0.2613,1996,0.2169,6813
1.17.1.8: 4-hydroxy-tetrahydrodipicolinate reductase,0.2467,2197,0.3603,887
1.17.4.1: Ribonucleoside-diphosphate reductase,0.4366,154,0.5133,67
1.17.4.2: Ribonucleoside-triphosphate reductase,0.2862,1553,0.2527,4607
1.17.7.1: (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (ferredoxin),0.32,961,0.3764,620
1.17.7.3: (E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase (flavodoxin),0.2778,1701,0.3445,1292
1.17.98.1: Bile-acid 7-alpha-dehydroxylase,0.2818,1611,0.231,5878
1.17.99.5: Transferred entry: 1.17.98.1,0.4365,155,0.5123,68
1.17.99.6: Epoxyqueuosine reductase,0.267,1887,0.3395,1402
1.18.1.1: Rubredoxin--NAD(+) reductase,0.2347,2338,0.2621,4108
1.18.1.2: Ferredoxin--NADP(+) reductase,0.2905,1476,0.2444,5074
1.18.1.3: Ferredoxin--NAD(+) reductase,0.2986,1346,0.3526,1128
1.18.1.6: Adrenodoxin-NADP(+) reductase,0.3135,1055,0.3541,1039
1.18.6.1: Nitrogenase,0.3236,922,0.3492,1207
1.18.99.1: Transferred entry: 1.12.7.2,0.3797,341,0.3632,819
1.2.1.10: Acetaldehyde dehydrogenase (acetylating),0.3603,466,0.3598,902
1.2.1.11: Aspartate-semialdehyde dehydrogenase,0.2426,2243,0.2856,3082
1.2.1.12: Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating),0.3249,908,0.3127,2130
1.2.1.16: Succinate-semialdehyde dehydrogenase (NAD(P)(+)),0.2425,2244,0.3453,1272
1.2.1.18: Malonate-semialdehyde dehydrogenase (acetylating),0.4323,162,0.3808,574
1.2.1.19: Aminobutyraldehyde dehydrogenase,0.2578,2054,0.3428,1333
1.2.1.2: Formate dehydrogenase,0.3035,1261,0.3166,2018
1.2.1.20: Glutarate-semialdehyde dehydrogenase,0.2786,1679,0.2482,4835
1.2.1.21: Glycolaldehyde dehydrogenase,0.2685,1860,0.3539,1095
1.2.1.22: Lactaldehyde dehydrogenase,0.2954,1400,0.3728,655
1.2.1.24: Succinate-semialdehyde dehydrogenase (NAD(+)),0.3155,1022,0.2863,3054
1.2.1.27: Methylmalonate-semialdehyde dehydrogenase (CoA acylating),0.3098,1151,0.2603,4193
1.2.1.3: Aldehyde dehydrogenase (NAD(+)),0.323,929,0.3009,2514
1.2.1.38: N-acetyl-gamma-glutamyl-phosphate reductase,0.3123,1117,0.4207,297
1.2.1.39: Phenylacetaldehyde dehydrogenase,0.2505,2141,0.3057,2364
1.2.1.4: Aldehyde dehydrogenase (NADP(+)),0.3,1326,0.3724,660
1.2.1.41: Glutamate-5-semialdehyde dehydrogenase,0.2408,2265,0.329,1687
1.2.1.46: Formaldehyde dehydrogenase,0.3054,1224,0.2307,5901
1.2.1.5: Aldehyde dehydrogenase (NAD(P)(+)),0.2739,1764,0.3176,1982
1.2.1.50: Long-chain-fatty-acyl-CoA reductase,0.2696,1832,0.3241,1809
1.2.1.58: Phenylglyoxylate dehydrogenase (acylating),0.3484,659,0.3792,595
1.2.1.59: Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating),0.3623,454,0.3228,1842
1.2.1.60: 5-carboxymethyl-2-hydroxymuconic-semialdehyde dehydrogenase,0.2796,1656,0.3316,1610
1.2.1.68: Coniferyl-aldehyde dehydrogenase,0.2588,2039,0.2166,6825
1.2.1.70: Glutamyl-tRNA reductase,0.2653,1921,0.2394,5345
1.2.1.71: Succinylglutamate-semialdehyde dehydrogenase,0.2412,2259,0.3659,752
1.2.1.72: Erythrose-4-phosphate dehydrogenase,0.2866,1546,0.3677,720
1.2.1.79: Succinate-semialdehyde dehydrogenase (NADP(+)),0.2434,2231,0.2735,3606
1.2.1.8: Betaine-aldehyde dehydrogenase,0.3168,1002,0.4093,351
1.2.1.88: L-glutamate gamma-semialdehyde dehydrogenase,0.2576,2055,0.224,6332
1.2.1.9: Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)),0.3285,869,0.3221,1862
1.2.1.95: L-2-aminoadipate reductase,0.3576,529,0.3635,805
1.2.2.1: Formate dehydrogenase (cytochrome),0.2932,1429,0.291,2876
1.2.2.2: Deleted entry,0.2928,1437,0.2551,4484
1.2.3.3: Pyruvate oxidase,0.2404,2271,0.2565,4390
1.2.4.1: Pyruvate dehydrogenase (acetyl-transferring),0.269,1847,0.2464,4942
1.2.4.2: Oxoglutarate dehydrogenase (succinyl-transferring),0.3395,743,0.274,3583
1.2.4.4: 3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring),0.4052,250,0.3088,2248
1.2.5.1: Pyruvate dehydrogenase (quinone),0.2648,1929,0.3536,1103
1.2.7.1: Pyruvate synthase,0.5427,34,0.5083,77
1.2.7.3: 2-oxoglutarate synthase,0.3326,824,0.2996,2579
1.2.7.5: Aldehyde ferredoxin oxidoreductase,0.3605,465,0.3389,1422
1.2.7.7: 3-methyl-2-oxobutanoate dehydrogenase (ferredoxin),0.4083,238,0.3411,1364
1.2.7.8: Indolepyruvate ferredoxin oxidoreductase,0.4741,89,0.5743,26
1.2.99.2: Carbon-monoxide dehydrogenase (acceptor),0.3731,376,0.3953,434
1.2.99.3: Transferred entry: 1.2.5.2,0.3381,756,0.3556,1003
1.2.99.5: Formylmethanofuran dehydrogenase,0.441,145,0.3217,1874
1.2.99.7: Aldehyde dehydrogenase (FAD-independent),0.3224,936,0.4494,200
1.20.1.1: Phosphonate dehydrogenase,0.2692,1838,0.2468,4920
1.20.4.1: Arsenate reductase (glutaredoxin),0.2428,2239,0.2366,5533
1.21.4.1: D-proline reductase (dithiol),0.2965,1382,0.2839,3151
1.21.4.2: Glycine reductase,0.3745,366,0.3861,517
1.21.4.3: Sarcosine reductase,0.5437,33,0.5076,79
1.21.4.4: Betaine reductase,0.4494,131,0.4285,263
1.21.98.1: Cyclic dehypoxanthinyl futalosine synthase,0.3998,268,0.4272,271
1.3.1.1: Dihydrouracil dehydrogenase (NAD(+)),0.2263,2425,0.306,2350
1.3.1.10: Enoyl-[acyl-carrier-protein] reductase (NADPH, Si-specific),0.3135,1056,0.3541,1040
1.3.1.101: 2,3-bis-O-geranylgeranyl-sn-glycerol 1-phosphate reductase (NAD(P)H),0.289,1505,0.2466,4927
1.3.1.106: Cobalt-precorrin-6A reductase,0.2518,2124,0.1849,9090
1.3.1.12: Prephenate dehydrogenase,0.2963,1387,0.3228,1843
1.3.1.13: Prephenate dehydrogenase (NADP(+)),0.3246,911,0.3297,1655
1.3.1.14: Dihydroorotate dehydrogenase (NAD(+)),0.3143,1037,0.3188,1943
1.3.1.2: Dihydropyrimidine dehydrogenase (NADP(+)),0.3354,796,0.2707,3717
1.3.1.20: Trans-1,2-dihydrobenzene-1,2-diol dehydrogenase,0.2915,1457,0.2543,4520
1.3.1.25: 1,6-dihydroxycyclohexa-2,4-diene-1-carboxylate dehydrogenase,0.3039,1254,0.2937,2781
1.3.1.26: Transferred entry: 1.17.1.8,0.3099,1150,0.2381,5431
1.3.1.28: 2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase,0.2606,2012,0.3404,1376
1.3.1.31: 2-enoate reductase,0.3343,806,0.3068,2322
1.3.1.34: 2,4-dienoyl-CoA reductase (NADPH),0.2289,2401,0.3187,1951
1.3.1.38: Trans-2-enoyl-CoA reductase (NADPH),0.2916,1456,0.2613,4136
1.3.1.39: Enoyl-[acyl-carrier-protein] reductase (NADPH, Re-specific),0.2888,1510,0.2419,5208
1.3.1.43: Arogenate dehydrogenase,0.4574,120,0.4485,205
1.3.1.44: Trans-2-enoyl-CoA reductase (NAD(+)),0.4792,83,0.4833,119
1.3.1.54: Precorrin-6A reductase,0.4402,149,0.4067,365
1.3.1.6: Fumarate reductase (NADH),0.3081,1171,0.2306,5902
1.3.1.70: Delta(14)-sterol reductase,0.3135,1057,0.3541,1041
1.3.1.71: Delta(24(24(1)))-sterol reductase,0.3509,643,0.3387,1429
1.3.1.74: 2-alkenal reductase (NAD(P)(+)),0.4152,217,0.4813,124
1.3.1.76: Precorrin-2 dehydrogenase,0.4786,86,0.4697,148
1.3.1.84: Acrylyl-CoA reductase (NADPH),0.217,2493,0.314,2095
1.3.1.87: 3-(cis-5,6-dihydroxycyclohexa-1,3-dien-1-yl)propanoate dehydrogenase,0.2718,1795,0.2952,2734
1.3.1.88: tRNA-dihydrouridine(16/17) synthase (NAD(P)(+)),0.3577,522,0.3555,1005
